質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.7%,22.5%,18.2%,20.0%,43.2%,32.0%,45.0%,33.3%,24.0%,21.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10．道路の段差解消など
　の福祉のまちづくり",98 ,12 ,13 ,7 ,9 ,7 ,3 ,1 ,36 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20.2%,13.5%,16.9%,15.6%,20.5%,28.0%,15.0%,4.8%,18.8%,16.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．わからない,40 ,1 ,7 ,5 ,4 ,3 ,0 ,2 ,4 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.3%,1.1%,9.1%,11.1%,9.1%,12.0%,0.0%,9.5%,2.1%,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12．その他,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,6 ,0 ,2 ,2 ,1 ,1 ,0 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2%,0.0%,2.6%,4.4%,2.3%,4.0%,0.0%,4.8%,1.0%,8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30．あなたは、地域にある福祉施設（保育所、老人福祉施設など）は地域社会とどのように関わっていけばよいと思いますか。次の中から３つまで選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,919 ,15 ,49 ,79 ,131 ,134 ,205 ,183 ,108 ,217 ,195 ,412 ,493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域の事業・行事へ
　の参加と協力",354 ,11 ,24 ,39 ,54 ,48 ,68 ,67 ,35 ,76 ,70 ,146 ,201 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.5%,73.3%,49.0%,49.4%,41.2%,35.8%,33.2%,36.6%,32.4%,35.0%,35.9%,35.4%,40.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．施設利用者と住民と
　の日常的な交流",401 ,8 ,22 ,31 ,55 ,54 ,90 ,94 ,41 ,102 ,88 ,190 ,205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43.6%,53.3%,44.9%,39.2%,42.0%,40.3%,43.9%,51.4%,38.0%,47.0%,45.1%,46.1%,41.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．研修会の開催や講師
　の派遣",108 ,3 ,8 ,7 ,13 ,15 ,24 ,25 ,12 ,26 ,25 ,51 ,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.8%,20.0%,16.3%,8.9%,9.9%,11.2%,11.7%,13.7%,11.1%,12.0%,12.8%,12.4%,11.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．ボランティアを希望
　する住民の受け入れ",204 ,5 ,14 ,18 ,33 ,29 ,46 ,35 ,21 ,41 ,39 ,80 ,121 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22.2%,33.3%,28.6%,22.8%,25.2%,21.6%,22.4%,19.1%,19.4%,18.9%,20.0%,19.4%,24.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．住民の交流会・懇談
　会の開催への協力",163 ,1 ,4 ,13 ,16 ,27 ,40 ,40 ,21 ,45 ,42 ,87 ,75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17.7%,6.7%,8.2%,16.5%,12.2%,20.1%,19.5%,21.9%,19.4%,20.7%,21.5%,21.1%,15.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．災害時の避難受け入
　れなどの支援",439 ,8 ,19 ,35 ,68 ,63 ,105 ,85 ,48 ,100 ,93 ,193 ,239 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47.8%,53.3%,38.8%,44.3%,51.9%,47.0%,51.2%,46.4%,44.4%,46.1%,47.7%,46.8%,48.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．相談体制の充実,330 ,7 ,11 ,24 ,45 ,52 ,84 ,62 ,40 ,74 ,75 ,149 ,177 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.9%,46.7%,22.4%,30.4%,34.4%,38.8%,41.0%,33.9%,37.0%,34.1%,38.5%,36.2%,35.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．その他,13 ,0 ,1 ,1 ,4 ,2 ,1 ,2 ,2 ,1 ,3 ,4 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.4%,0.0%,2.0%,1.3%,3.1%,1.5%,0.5%,1.1%,1.9%,0.5%,1.5%,1.0%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,51 ,0 ,2 ,0 ,4 ,5 ,6 ,17 ,15 ,19 ,18 ,37 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5%,0.0%,4.1%,0.0%,3.1%,3.7%,2.9%,9.3%,13.9%,8.8%,9.2%,9.0%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30,性別,,職業別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男性,女性,有業者,,,,,無業者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,雇われている人,会社・団体の役員,自営・家族従事者,"その他
有業者",(小計),学生,"専業
主婦","年金
生活者","その他
無業者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,365 ,541 ,366 ,19 ,54 ,22 ,461 ,24 ,101 ,294 ,18 ,437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域の事業・行事へ
　の参加と協力",156 ,192 ,158 ,6 ,16 ,8 ,188 ,12 ,40 ,99 ,9 ,160 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42.7%,35.5%,43.2%,31.6%,29.6%,36.4%,40.8%,50.0%,39.6%,33.7%,50.0%,36.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．施設利用者と住民と
　の日常的な交流",165 ,230 ,154 ,9 ,24 ,13 ,200 ,13 ,42 ,131 ,6 ,192 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45.2%,42.5%,42.1%,47.4%,44.4%,59.1%,43.4%,54.2%,41.6%,44.6%,33.3%,43.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．研修会の開催や講師
　の派遣",39 ,68 ,43 ,1 ,7 ,1 ,52 ,3 ,13 ,38 ,2 ,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.7%,12.6%,11.7%,5.3%,13.0%,4.5%,11.3%,12.5%,12.9%,12.9%,11.1%,12.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．ボランティアを希望
　する住民の受け入れ",70 ,132 ,91 ,4 ,8 ,6 ,109 ,10 ,21 ,55 ,4 ,90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.2%,24.4%,24.9%,21.1%,14.8%,27.3%,23.6%,41.7%,20.8%,18.7%,22.2%,20.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．住民の交流会・懇談
　会の開催への協力",77 ,85 ,58 ,5 ,9 ,7 ,79 ,2 ,22 ,56 ,2 ,82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.1%,15.7%,15.8%,26.3%,16.7%,31.8%,17.1%,8.3%,21.8%,19.0%,11.1%,18.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．災害時の避難受け入
　れなどの支援",184 ,248 ,180 ,10 ,21 ,8 ,219 ,12 ,44 ,143 ,12 ,211 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50.4%,45.8%,49.2%,52.6%,38.9%,36.4%,47.5%,50.0%,43.6%,48.6%,66.7%,48.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．相談体制の充実,121 ,207 ,129 ,7 ,13 ,8 ,157 ,10 ,38 ,112 ,6 ,166 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.2%,38.3%,35.2%,36.8%,24.1%,36.4%,34.1%,41.7%,37.6%,38.1%,33.3%,38.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．その他,8 ,5 ,6 ,0 ,1 ,1 ,8 ,0 ,0 ,5 ,0 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.2%,0.9%,1.6%,0.0%,1.9%,4.5%,1.7%,0.0%,0.0%,1.7%,0.0%,1.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,13 ,36 ,10 ,0 ,4 ,0 ,14 ,0 ,4 ,26 ,1 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.6%,6.7%,2.7%,0.0%,7.4%,0.0%,3.0%,0.0%,4.0%,8.8%,5.6%,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30,居住地域別,,,,,,,居住年数別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中央,東部,西部,南部,北部,河辺,雄和,"５年
未満","５～
９年","10～
19年","20～
29年","30年
以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,214 ,180 ,97 ,139 ,235 ,22 ,15 ,37 ,39 ,73 ,137 ,606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域の事業・行事へ
　の参加と協力",75 ,71 ,35 ,60 ,88 ,10 ,7 ,16 ,19 ,34 ,55 ,220 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.0%,39.4%,36.1%,43.2%,37.4%,45.5%,46.7%,43.2%,48.7%,46.6%,40.1%,36.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．施設利用者と住民と
　の日常的な交流",65 ,93 ,39 ,66 ,108 ,15 ,6 ,18 ,19 ,32 ,56 ,266 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.4%,51.7%,40.2%,47.5%,46.0%,68.2%,40.0%,48.6%,48.7%,43.8%,40.9%,43.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．研修会の開催や講師
　の派遣",25 ,25 ,11 ,15 ,28 ,0 ,3 ,5 ,7 ,8 ,19 ,67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.7%,13.9%,11.3%,10.8%,11.9%,0.0%,20.0%,13.5%,17.9%,11.0%,13.9%,11.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．ボランティアを希望
　する住民の受け入れ",46 ,42 ,19 ,29 ,54 ,5 ,5 ,11 ,9 ,20 ,34 ,123 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.5%,23.3%,19.6%,20.9%,23.0%,22.7%,33.3%,29.7%,23.1%,27.4%,24.8%,20.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．住民の交流会・懇談
　会の開催への協力",35 ,31 ,19 ,21 ,44 ,6 ,3 ,5 ,6 ,12 ,16 ,121 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16.4%,17.2%,19.6%,15.1%,18.7%,27.3%,20.0%,13.5%,15.4%,16.4%,11.7%,20.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．災害時の避難受け入
　れなどの支援",111 ,84 ,46 ,68 ,102 ,10 ,10 ,17 ,21 ,34 ,67 ,290 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51.9%,46.7%,47.4%,48.9%,43.4%,45.5%,66.7%,45.9%,53.8%,46.6%,48.9%,47.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．相談体制の充実,89 ,64 ,29 ,52 ,78 ,5 ,7 ,15 ,10 ,28 ,42 ,230 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.6%,35.6%,29.9%,37.4%,33.2%,22.7%,46.7%,40.5%,25.6%,38.4%,30.7%,38.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．その他,3 ,3 ,2 ,2 ,3 ,0 ,0 ,0 ,1 ,1 ,1 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.4%,1.7%,2.1%,1.4%,1.3%,0.0%,0.0%,0.0%,2.6%,1.4%,0.7%,1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,8 ,9 ,5 ,5 ,20 ,2 ,0 ,1 ,1 ,4 ,2 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7%,5.0%,5.2%,3.6%,8.5%,9.1%,0.0%,2.7%,2.6%,5.5%,1.5%,5.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30,同居家族別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,子ども(中学生以下)がいない,,,,,子どもがいる,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,"夫婦
のみ",二世代,三世代,(小計),二世代,三世代,(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,121 ,264 ,231 ,45 ,661 ,133 ,35 ,168 ,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域の事業・行事へ
　の参加と協力",41 ,104 ,85 ,17 ,247 ,65 ,16 ,81 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.9%,39.4%,36.8%,37.8%,37.4%,48.9%,45.7%,48.2%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．施設利用者と住民と
　の日常的な交流",54 ,111 ,92 ,21 ,278 ,61 ,18 ,79 ,32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44.6%,42.0%,39.8%,46.7%,42.1%,45.9%,51.4%,47.0%,49.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．研修会の開催や講師
　の派遣",12 ,38 ,29 ,5 ,84 ,12 ,5 ,17 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.9%,14.4%,12.6%,11.1%,12.7%,9.0%,14.3%,10.1%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．ボランティアを希望
　する住民の受け入れ",28 ,53 ,57 ,6 ,144 ,38 ,5 ,43 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.1%,20.1%,24.7%,13.3%,21.8%,28.6%,14.3%,25.6%,16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．住民の交流会・懇談
　会の開催への協力",18 ,61 ,39 ,8 ,126 ,19 ,2 ,21 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.9%,23.1%,16.9%,17.8%,19.1%,14.3%,5.7%,12.5%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．災害時の避難受け入
　れなどの支援",58 ,133 ,112 ,22 ,325 ,65 ,14 ,79 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47.9%,50.4%,48.5%,48.9%,49.2%,48.9%,40.0%,47.0%,35.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．相談体制の充実,48 ,97 ,90 ,15 ,250 ,36 ,8 ,44 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39.7%,36.7%,39.0%,33.3%,37.8%,27.1%,22.9%,26.2%,47.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．その他,1 ,2 ,2 ,1 ,6 ,4 ,1 ,5 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8%,0.8%,0.9%,2.2%,0.9%,3.0%,2.9%,3.0%,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,10 ,13 ,10 ,2 ,35 ,3 ,3 ,6 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.3%,4.9%,4.3%,4.4%,5.3%,2.3%,8.6%,3.6%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問30,同居家族別(高齢者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,,,夫婦のみ,,,子世代と同居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,35 ,30 ,65 ,87 ,75 ,162 ,71 ,64 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"１．地域の事業・行事へ
　の参加と協力",11 ,7 ,18 ,37 ,31 ,68 ,23 ,25 ,48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31.4%,23.3%,27.7%,42.5%,41.3%,42.0%,32.4%,39.1%,35.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"２．施設利用者と住民と
　の日常的な交流",15 ,12 ,27 ,38 ,34 ,72 ,37 ,29 ,66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42.9%,40.0%,41.5%,43.7%,45.3%,44.4%,52.1%,45.3%,48.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．研修会の開催や講師
　の派遣",3 ,3 ,6 ,14 ,10 ,24 ,8 ,8 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.6%,10.0%,9.2%,16.1%,13.3%,14.8%,11.3%,12.5%,11.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．ボランティアを希望
　する住民の受け入れ",5 ,5 ,10 ,21 ,10 ,31 ,15 ,16 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.3%,16.7%,15.4%,24.1%,13.3%,19.1%,21.1%,25.0%,23.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．住民の交流会・懇談
　会の開催への協力",4 ,8 ,12 ,23 ,16 ,39 ,14 ,11 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.4%,26.7%,18.5%,26.4%,21.3%,24.1%,19.7%,17.2%,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"６．災害時の避難受け入
　れなどの支援",16 ,10 ,26 ,36 ,43 ,79 ,37 ,32 ,69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45.7%,33.3%,40.0%,41.4%,57.3%,48.8%,52.1%,50.0%,51.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．相談体制の充実,14 ,13 ,27 ,26 ,32 ,58 ,23 ,23 ,46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.0%,43.3%,41.5%,29.9%,42.7%,35.8%,32.4%,35.9%,34.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
８．その他,0 ,1 ,1 ,1 ,0 ,1 ,0 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,3.3%,1.5%,1.1%,0.0%,0.6%,0.0%,1.6%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
